id,parentId,iNaturalistTaxonName,commonName,rank,wikipediaSummary,iNaturalistTaxonImage,taxonName,names
47163,47125,Liliopsida,monocots,class,<p><b>Liliopsida</b> <small>Batsch</small> (synonym: <b>Liliatae</b>) is a botanical name for the class containing the family Liliaceae (or Lily Family). It is considered synonymous (or nearly synonymous) with the name monocotyledon. Publication of the name is credited to Scopoli (in 1760): see author citation (botany). This name is formed by replacing the termination <i>-aceae</i> in the name Liliaceae by the termination <i>-opsida</i> (Art 16 of</p>...,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg,,
47375,136329,Pinales,conifers,order,"<p class=""mw-empty-elt"">
</p>
<p>The order <b>Pinales</b> in the division Pinophyta, class Pinopsida, comprises all the extant conifers. The distinguishing characteristic is the reproductive structure known as a cone produced by all Pinales. All of the extant conifers, such as Araucaria, cedar, celery-pine, cypress, fir, juniper, kauri, larch, pine, redwood, spruce, and yew, are included here. Some fossil conifers, however, belong to other distinct</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/170033792/medium.jpg,,
47123,47124,Fabales,"legumes, milkworts, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Fabales</b> is an order of flowering plants included in the rosid group of the eudicots in the Angiosperm Phylogeny Group II classification system. In the APG II circumscription, this order includes the families Fabaceae or legumes (including the subfamilies Caesalpinioideae, Mimosoideae, and Faboideae), Quillajaceae, Polygalaceae or milkworts (including the families Diclidantheraceae, Moutabeaceae, and Xanthophyllaceae</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/73034071/medium.jpg,,
47132,47124,Rosales,"roses, elms, figs, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Rosales</b> (<span></span>) is an order of flowering plants. It is sister to a clade consisting of Fagales and Cucurbitales. It contains about 7,700 species, distributed into about 260 genera. Rosales comprise nine families, the type family being the rose family, Rosaceae. The largest of these families are Rosaceae (90/2500) and Urticaceae (54/2600). The order Rosales is divided into three clades that have never</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/11763754/medium.jpg,,
47162,47163,Poales,"grasses, sedges, cattails, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Poales</b> are a large order of flowering plants in the monocotyledons, and includes families of plants such as the grasses, bromeliads, rushes and sedges.  Sixteen plant families are currently recognized by botanists to be part of Poales.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/54589881/medium.jpg,,
47181,47124,Ericales,"heathers, balsams, primroses, and allies",order,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Ericales</b> are a large and diverse order of dicotyledons. Species in this order have considerable commercial importance including for tea, persimmon, blueberry, kiwifruit, Brazil nuts, argan, and azalea. The order includes trees, bushes, lianas, and herbaceous plants. Together with ordinary autophytic plants, the Ericales include chlorophyll-deficient mycoheterotrophic plants (e.g., <i>Sarcodes sanguinea</i></p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/121441132/medium.jpeg,,
47195,47124,Cornales,"dogwoods, hydrangeas, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Cornales</b> are an order of flowering plants, early diverging among the asterids, containing about 600 species. Plants within the Cornales usually have four-parted flowers, drupaceous fruits, and inferior to half-inferior gynoecia topped with disc-shaped nectaries.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/79182087/medium.jpg,,
47218,47163,Asparagales,"agaves, orchids, irises, and allies",order,"<p class=""mw-empty-elt"">


</p>
<p><b>Asparagales</b> (<b>asparagoid lilies</b>) is an order of plants in modern classification systems such as the Angiosperm Phylogeny Group (APG) and the Angiosperm Phylogeny Web. The order takes its name from the type family Asparagaceae and is placed in the monocots amongst the lilioid monocots. The order has only recently been recognized in classification systems. It was first put forward by Huber in 1977 and</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/102229489/medium.jpg,,
47329,47163,Liliales,"lilies, supplejacks, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Liliales</b> is an order of monocotyledonous flowering plants in the Angiosperm Phylogeny Group and Angiosperm Phylogeny Web system, within the lilioid monocots. This order of necessity includes the family Liliaceae. The APG III system (2009) places this order in the monocot clade. In APG III, the family Luzuriagaceae is combined with the family Alstroemeriaceae and the family Petermanniaceae is recognized. Both</p>...",https://static.inaturalist.org/photos/33994968/medium.jpeg,,
47363,47124,Gentianales,"gentians, dogbanes, madders, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Gentianales</b> is an order of flowering plant, included within the asterid clade of eudicots. It comprises more than 20,000 species in about 1,200 genera in 5 families. More than 80% of the species in this order belong to the family Rubiaceae.
</p><p>Many of these flowering plants are used in traditional medicine. They have been used to treat pain, anxiety, cancers and neurological conditions.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/6232/medium.jpg,,
47366,47124,Caryophyllales,"pinks, cactuses, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Caryophyllales</b> (<span></span> <i title=""English pronunciation respelling""><span>KARR</span>-ee-oh-fih-<span>LAY</span>-leez</i>) is a diverse and heterogeneous order of flowering plants that includes the cacti, carnations, amaranths, ice plants, beets, and many carnivorous plants. Many members are succulent, having fleshy stems or leaves. The betalain pigments are unique in plants of this order and occur in</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/74999656/medium.jpg,,
47374,47375,Cupressaceae,cypress family,family,"<p class=""mw-empty-elt"">

</p>
<p><b>Cupressaceae</b> is a conifer family, the <b>cypress</b>, with worldwide distribution. The family includes 27–30 genera (17 monotypic), which include the junipers and redwoods, with about 130–140 species in total. They are monoecious, subdioecious or (rarely) dioecious trees and shrubs up to 116&#160;m (381&#160;ft) tall. The bark of mature trees is commonly orange- to red-brown and of stringy texture, often flaking or peeling</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/164349061/medium.jpg,,
47540,47124,Celastrales,staff-vines and allies,order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Celastrales</b> are an order of flowering plants found throughout the tropics and subtropics, with only a few species extending far into the temperate regions. The 1200 to 1350 species are in about 100 genera. All but seven of these genera are in the large family Celastraceae. Until recently, the composition of the order and its division into families varied greatly from one author to another.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/31231998/medium.jpg,,
47562,47375,Pinaceae,pine family,family,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Pinaceae</b> (<span></span>), or <b>pine family</b>, are conifer trees or shrubs, including many of the well-known conifers of commercial importance such as cedars, firs, hemlocks, piñons,  
larches, pines and spruces. The family is included in the order Pinales, formerly known as Coniferales. Pinaceae are supported as monophyletic by their protein-type sieve cell plastids, pattern of proembryogeny, and lack</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/275129245/medium.jpg,,
47605,47124,Asterales,"sunflowers, bellflowers, fanflowers, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p class=""mw-empty-elt"">
</p>
<p><b>Asterales</b> (<span></span>) is an order of dicotyledonous flowering plants that includes the large family Asteraceae (or Compositae) known for composite flowers made of florets, and ten families related to the Asteraceae. While asterids in general are characterized by fused petals, composite flowers consisting of many florets create the false appearance of separate petals (as found</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/13529909/medium.jpg,,"{""Asterales"":""accepted""}"
47690,47124,Geraniales,"geraniums, bridal wreaths, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Geraniales</b> is a small order of flowering plants, included within the rosid subclade of eudicots. The largest family in the order is Geraniaceae with over 800 species. In addition, the order includes the smaller Francoaceae with about 40 species. Most Geraniales are herbaceous, but there are also shrubs and small trees.
</p><p>Flower morphology of the Geraniales is rather conserved. They are usually perfectly</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/208209960/medium.jpeg,,
47729,47124,Sapindales,"soapberries, cashews, mahoganies, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Sapindales</b> <span></span> is an order of flowering plants. Well-known members of Sapindales include citrus; maples, horse-chestnuts, lychees and rambutans; mangos and cashews; frankincense and myrrh; mahogany and neem.
</p>
<p>The APG III system of 2009 includes it in the clade malvids (in rosids, in eudicots) with the following nine families:</p>
<ul><li>Anacardiaceae</li>
<li>Biebersteiniaceae</li>
<li>Burseraceae</li></ul>...",https://inaturalist-open-data.s3.amazonaws.com/photos/54896742/medium.jpg,,
47791,47124,Myrtales,"myrtles, evening primroses, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Myrtales</b> are an order of flowering plants placed as a sister to the eurosids II clade as of the publishing of the <i>Eucalyptus grandis</i> genome in June 2014.</p><p>The APG III system of classification for angiosperms still places it within the eurosids. This finding is corroborated by the placement of the Myrtales in the Malvid clade by the One Thousand Plant Transcriptomes Initiative. The following families</p>...",https://static.inaturalist.org/photos/42561347/medium.jpeg,,
47853,47124,Fagales,"beeches, oaks, walnuts, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Fagales</b> are an order of flowering plants, including some of the best-known trees.  The order name is derived from genus <i>Fagus</i>, beeches.  They belong among the rosid group of dicotyledons. The families and genera currently included are as follows:
</p>
<ul><li>Betulaceae – birch family (<i>Alnus</i>, <i>Betula</i>, <i>Carpinus</i>, <i>Corylus</i>, <i>Ostrya</i>, and <i>Ostryopsis</i>)</li>
<li>Casuarinaceae</li></ul>...",https://inaturalist-open-data.s3.amazonaws.com/photos/2305595/medium.JPG,,
48073,47163,Alismatales,"Aroids, Water-Plantains, Seagrass, and allies",order,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Alismatales</b> (<b>alismatids</b>) are an order of flowering plants including about 4,500 species. Plants assigned to this order are mostly tropical or aquatic. Some grow in fresh water, some in marine habitats. Perhaps the most important food crop in the order is the corm of the taro plant, <i>Colocasia esculenta</i>.
</p>


",https://static.inaturalist.org/photos/107900/medium.jpg,,
48151,47124,Lamiales,"mints, plantains, olives, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The order <b>Lamiales</b> (also known as the <b>mint order</b>) are an order in the asterid group of dicotyledonous flowering plants. It includes about 23,810 species, 1,059 genera, and is divided into about 25 families. These families include Acanthaceae, Bignoniaceae, Byblidaceae, Calceolariaceae, Carlemanniaceae, Gesneriaceae, Lamiaceae, Lentibulariaceae, Linderniaceae, Martyniaceae, Mazaceae, Oleaceae, Orobanchaceae</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/31256836/medium.jpg,,"{""Lamiales"":""accepted""}"
48232,47124,Ranunculales,"buttercups, poppies, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Ranunculales</b> is an order of flowering plants. Of necessity it contains the family Ranunculaceae, the buttercup family, because the name of the order is based on the name of a genus in that family. Ranunculales belongs to a paraphyletic group known as the basal eudicots. It is the most basal clade in this group; in other words, it is sister to the remaining eudicots. Widely known members include poppies, barberries</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/10459/medium.jpg,,
48515,47124,Solanales,"nightshades, bindweeds, gooseweeds, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Solanales</b> are an order of flowering plants, included in the asterid group of dicotyledons. Some older sources used the name <b>Polemoniales</b> for this order.
</p>
",https://inaturalist-open-data.s3.amazonaws.com/photos/50520559/medium.jpg,,
48526,47124,Dipsacales,"honeysuckles, moschatels, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Dipsacales</b> are an order of flowering plants, included within the asterid group of dicotyledons. In the APG III system of 2009, the order includes only two families, Adoxaceae and a broadly defined Caprifoliaceae. Some well-known members of the Dipsacales order are honeysuckle, elder, viburnum, and valerian.
</p><p>Under the Cronquist system, the order included Adoxaceae, Caprifoliaceae sensu stricto, Dipsacaceae</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/5417/medium.jpg,,
48700,47124,Apiales,"carrots, ivies, and allies",order,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Apiales</b> are an order of flowering plants. The families are those recognized in the APG III system. This is typical of the newer classifications, though there is some slight variation and in particular, the Torriceliaceae may also be divided.</p><p>Under this definition, well-known members include carrots, celery, parsley, and <i>Hedera helix</i> (English ivy).
</p><p>The order Apiales is placed within the</p>...",https://static.inaturalist.org/photos/39794882/medium.jpeg,,
48796,47124,Malvales,"mallows, rock-roses, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Malvales</b> are an order of flowering plants. As circumscribed by APG II-system, the order includes about 6000 species within nine families. The order is placed in the eurosids II, which are part of the eudicots.
</p><p>The plants are mostly shrubs and trees; most of its families have a cosmopolitan distribution in the tropics and subtropics, with limited expansion into temperate regions. An interesting distribution</p>...",https://static.inaturalist.org/photos/3035871/medium.JPG,,
49146,47163,Commelinales,spiderworts and allies,order,"<p class=""mw-empty-elt"">
</p>
<p><b>Commelinales</b> is an order of flowering plants. It comprises five families: Commelinaceae, Haemodoraceae, Hanguanaceae, Philydraceae, and Pontederiaceae. All the families combined contain over 885 species in about 70 genera; the majority of species are in the Commelinaceae. Plants in the order share a number of synapomorphies that tie them together, such as a lack of mycorrhizal associations and tapetal raphides</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/13524791/medium.jpeg,,
51120,47124,Nymphaeales,"Waterlilies, Fanworts, and Allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Nymphaeales</b> are an order of flowering plants, consisting of three families of aquatic plants, the Hydatellaceae, the Cabombaceae, and the Nymphaeaceae (water lilies). It is one of the three orders of basal angiosperms, an early-diverging grade of flowering plants. At least 10 morphological characters unite the Nymphaeales. One of the traits is the absence of a vascular cambium, which is required to produce</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/3008652/medium.JPG,,
51820,47124,Malpighiales,"nances, willows, and allies",order,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Malpighiales</b> comprise one of the largest orders of flowering plants, containing about 36 families and more than 16,000 species, about 7.8% of the eudicots. The order is very diverse, containing plants as different as the willow, violet, poinsettia, manchineel, rafflesia and coca plant, and are hard to recognize except with molecular phylogenetic evidence. It is not part of any of the classification systems</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/57932018/medium.jpg,,
70233,47124,Oxalidales,"woodsorrels, quandongs, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p><b>Oxalidales</b> is an order of flowering plants, included within the rosid subgroup of eudicots.  This group comprises six families that contain approximately 2000 species in 58 genera. They are trees, shrubs or woody vines which are found in the wet tropics, particularly on mountains, and warm temperate zones, especially in the southern hemisphere. Compound leaves are common in Oxalidales and the majority of the</p>...",https://static.inaturalist.org/photos/36921206/medium.jpeg,,
71275,47124,Brassicales,"mustards, capers, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Brassicales</b> (or <b>Cruciales</b>) are an order of flowering plants, belonging to the eurosids II group of dicotyledons under the APG II system. One character common to many members of the order is the production of glucosinolate (mustard oil) compounds. Most systems of classification have included this order, although sometimes under the name <b>Capparales</b> (the name chosen depending on which is thought</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/128540743/medium.jpg,,
71281,47124,Cucurbitales,"begonias, gourds, and allies",order,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Cucurbitales</b> are an order of flowering plants, included in the rosid group of dicotyledons. This order mostly belongs to tropical areas, with limited presence in subtropical and temperate regions. The order includes shrubs and trees, together with many herbs and climbers. One major characteristic of the Cucurbitales is the presence of unisexual flowers, mostly pentacyclic, with thick pointed petals (whenever</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/3037581/medium.jpg,,
71289,47124,Saxifragales,"saxifrages, stonecrops, and allies",order,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Saxifragales</b> (<b>saxifrages</b>) are an order of flowering plants (Angiosperms). They are an extremely diverse group of plants which include trees, shrubs, perennial herbs, succulent and aquatic plants. The degree of diversity in terms of vegetative and floral features makes it difficult to define common features that unify the order.
</p><p>In the Angiosperm Phylogeny Group classification system, the Saxifragales</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/1539441/medium.jpg,,
523723,47124,Boraginales,borages,order,"<p class=""mw-empty-elt"">
</p>
<p><b>Boraginales</b> is an order of flowering plants in the asterid clade, with a total of about 125 genera and 2,700 species. Different taxonomic treatments either include only a single family, the Boraginaceae, or divide it into up to eleven families. Its herbs, shrubs, trees and lianas (vines) have a worldwide distribution.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/66417631/medium.jpeg,,
47122,47123,Fabaceae,legumes,family,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"" />
<p class=""mw-empty-elt"">

</p>
<p>The <b>Fabaceae</b> (<span></span>) or <b>Leguminosae</b>, commonly known as the <b>legume</b>, <b>pea</b>, or <b>bean family</b>, are a large and agriculturally important family of flowering plants.  It includes trees, shrubs, and perennial or annual herbaceous plants, which are easily recognized by their fruit (legume) and their</p>...",https://static.inaturalist.org/photos/73592940/medium.jpg,,
47131,71289,Grossulariaceae,Gooseberry Family,family,"<p class=""mw-empty-elt"">
</p>
<p><i><b>Ribes</b></i> (<span></span>) is a genus of about 200 known species of flowering plants, most of them native to the temperate regions of the Northern Hemisphere. The various species are known as <b>currants</b> or gooseberries, and some are cultivated for their edible fruit or as ornamental plants. <i>Ribes</i> is the only genus in the family <b>Grossulariaceae</b>.
</p>


",https://inaturalist-open-data.s3.amazonaws.com/photos/50463241/medium.jpg,,
47148,47132,Rosaceae,rose family,family,"<p class=""mw-empty-elt"">

</p>
<p><b>Rosaceae</b> (<span></span>), the <b>rose family</b>, is a medium-sized family of flowering plants that includes 4,828 known species in 91 genera.</p><p>The name is derived from the type genus <i>Rosa</i>. Among the most species-rich genera are <i>Alchemilla</i> (270), <i>Sorbus</i> (260), <i>Crataegus</i> (260), <i>Cotoneaster</i> (260), <i>Rubus</i> (250), and <i>Prunus</i> (200), which contains the plums, cherries</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/2066379/medium.JPG,,"{""Rosaceae"":""accepted""}"
47151,48151,Scrophulariaceae,figwort family,family,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Scrophulariaceae</b> are a family of flowering plants, commonly known as the <b>figwort family</b>.  The plants are annual and perennial herbs, as well as shrubs.  Flowers have bilateral (zygomorphic) or rarely radial  (actinomorphic) symmetry.  The Scrophulariaceae have a cosmopolitan distribution, with the majority found in temperate areas, including tropical mountains.  The family name is based on the name</p>...",https://static.inaturalist.org/photos/55578/medium.jpg,,
47194,47195,Cornaceae,Dogwood family,family,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Cornaceae</b> are a cosmopolitan family of flowering plants in the order <b>Cornales</b>. The family contains approximately 85 species in two genera, <i>Alangium</i> and <i>Cornus</i>. They are mostly trees and shrubs, which may be deciduous or evergreen, although a few species are perennial herbs. Members of the family usually have opposite or alternate simple leaves, four- or five-parted flowers clustered</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/79182213/medium.jpg,,
47201,47158,Hymenoptera,"Ants, Bees, Wasps, and Sawflies",order,"<p class=""mw-empty-elt"">
</p>
<p><b> Hymenoptera</b> is a large order of insects, comprising the sawflies, wasps, bees, and ants. Over 150,000 living species of Hymenoptera have been described, in addition to over 2,000 extinct ones. Many of the species are parasitic. 
Females typically have a special ovipositor for inserting eggs into hosts or places that are otherwise inaccessible. This ovipositor is often modified into a stinger. The young develop</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/301992102/medium.jpeg,,
47204,71275,Brassicaceae,mustard family,family,"<p class=""mw-empty-elt"">
</p>
<p><b>Brassicaceae</b> (<span></span>) or (the older) <b>Cruciferae</b> (<span></span>) is a medium-sized and economically important family of flowering plants commonly known as the <b>mustards</b>, the <b>crucifers</b>, or the <b>cabbage family</b>. Most are herbaceous plants, while some are shrubs. The leaves are simple (although are sometimes deeply incised), lack stipules, and appear alternately on stems or in rosettes</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/17880512/medium.jpg,,"{""Brassicaceae"":""accepted""}"
47217,47218,Orchidaceae,orchids,family,"<p class=""mw-empty-elt"">

</p>
<p><b>Orchids</b> are plants that belong to the family <b>Orchidaceae</b> (<span></span>), a diverse and widespread group of flowering plants with blooms that are often colourful and fragrant. Orchids are cosmopolitan plants that are found in almost every habitat on Earth except glaciers. The world's richest diversity of orchid genera and species is found in the tropics.
</p><p>Orchidaceae is one of the two largest families</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/108347006/medium.jpeg,,
47322,48151,Orobanchaceae,broomrape family,family,"<p class=""mw-empty-elt"">
</p>
<p><b>Orobanchaceae</b>, the <b>broomrapes</b>, is a family of mostly parasitic plants of the order Lamiales, with about 90 genera and more than 2000 species. Many of these genera (e.g., <i>Pedicularis</i>, <i>Rhinanthus</i>, <i>Striga</i>) were formerly included in the family Scrophulariaceae <i>sensu lato</i>. With its new circumscription, Orobanchaceae forms a distinct, monophyletic family. From a phylogenetic perspective</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/218490138/medium.jpeg,,
47328,47329,Liliaceae,lilies,family,"<p class=""mw-empty-elt"">


</p>

<p>The lily family, <b>Liliaceae</b>, consists of about 15 genera and 610 species of flowering plants within the order Liliales. They are monocotyledonous, perennial, herbaceous, often bulbous geophytes. Plants in this family have evolved with a fair amount of morphological diversity despite genetic similarity. Common characteristics include large flowers with parts arranged in threes: with six colored or patterned</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/4233595/medium.jpg,,
47332,48232,Papaveraceae,poppy family,family,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Papaveraceae</b> <span></span> are an economically important family of about 42 genera and approximately 775 known species of flowering plants in the order Ranunculales, informally known as the <b>poppy family</b>. The family is cosmopolitan, occurring in temperate and subtropical climates (mostly in the northern hemisphere), but almost unknown in the tropics. Most are herbaceous plants, but a few are shrubs</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/178340187/medium.jpg,,
47362,47363,Apocynaceae,dogbane family,family,"<p class=""mw-empty-elt"">
</p>
<p><b>Apocynaceae</b> (<span></span>, from <i>Apocynum</i>, Greek for ""dog-away"") is a family of flowering plants that includes trees, shrubs, herbs, stem succulents, and vines, commonly known as the <b>dogbane family</b>, because some taxa were used as dog poison.  Members of the family are native to the European, Asian, African, Australian, and American tropics or subtropics, with some temperate members. The former</p>...",https://inaturalist-open-data.s3.amazonaws.com/photos/138510430/medium.jpeg,,"{""Apocynaceae"":""accepted""}"
